"S/N","statement","target","source","text_origin"
"325","Ọdún dé, ọdún jọ, ọdún jọ, ọdún dé, ọdún jọ, ọdún jọ o, ará ẹ bá mi yọ̀, ọdún dé o.","non-sarcastic","X","original"
"422","O kò lẹ́jọ́ láti rò, ẹnu rẹ kò sì dúró","sarcastic","Crowdsourcing","original"
"17","Tí o bá yá ẹnìkan lowó tí o kò sì mọ ibi tí ó wà mọ́, wá ẹnìkan tí ó sún mọ́ ọn kí o sì tún yá ìyẹn náà lówó, bó tilẹ̀ jẹ́ pé o lè má rí owó méjèèjì gbà","sarcastic","Instagram","original"
"266","To ba ya won ma sope won ko ri alanu, bawo ni eniyan mase dagba lai ni opolo bio ti wun ko kere mo, won ko ma wuwa ti o ma se idina fun elomiran lati je anfaani","non-sarcastic","X","original"
"420","Bàba kúdí ga ní ènìyàn, ó kàn nílátí gun àga kí ẹ tó ó ri ní àárín ọ̀pọ̀ ènìyàn","sarcastic","Crowdsourcing","original"
"8","A tọrọ owó lọwọ yín, ẹ sì ní kí a wáa gba nílé, èwo ló wáá fa ẹ̀wọ̀n?","non-sarcastic","Facebook","original"
"330","Má ṣe fẹ́ ìyàwó tó máa fún ẹ ní Ìfọ̀kànbalẹ̀, nítorí Ìfọ̀kànbalẹ̀ díẹ̀, ogún diẹ la fí ngbé ilé ayé. ","sarcastic","Instagram","original"
"375","Tí agbófinró Nàìjíríà kan bá sọ fún ọ pé kí o ṣí fóònù rẹ, má ṣe dá a lóhùn. Bí ó tilẹ̀ fẹ́ pa ọ́, o kàn máa kú lẹ́ẹ̀kan ṣoṣo, bó tilẹ̀ jẹ́ pé ẹ̀mí rẹ yóò ti ṣòfò.","sarcastic","Instagram","original"
"435","Tí olè bá ń jalè níbì kan tí àwọn ènìyàn sì ń sá lọ, má ṣe sá lọ, bí bẹ́ẹ̀ kọ́, wọ́n á rí ọ gẹ́gẹ́ bí ojo, bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́.","sarcastic","Instagram","original"
"394","Tí olé bá njà ni àdúgbò yín lóòrèkóòrè, ẹ má ṣe pè agbófinró, nítorí tí àwọn olè náà bá ní ọ̀nà míràn ni, wọn kò ní máa jalè.","sarcastic","Instagram","original"
